BDU,VEDAS
BDU:2025-11474,0.804047
BDU:2025-11471,0.2137025
BDU:2025-11470,0.4245456
BDU:2025-11469,0.4269729
BDU:2025-11468,0.212561
BDU:2025-11467,0.1928161
BDU:2025-11466,0.2141401
BDU:2025-11465,0.4532491
BDU:2025-11464,0.4531701
BDU:2025-11463,0.2298534
BDU:2025-11462,0.2297232
BDU:2025-11461,0.2298534
BDU:2025-11460,0.2298534
BDU:2025-11459,0.2298524
BDU:2025-11458,0.2308836
BDU:2025-11457,0.8009057
BDU:2025-11456,0.2295589
BDU:2025-11455,0.219472
BDU:2025-11454,0.219472
BDU:2025-11453,0.219472
BDU:2025-11452,0.2206514
BDU:2025-11451,0.7630465
BDU:2025-11450,0.7459017
BDU:2025-11449,0.7459017
BDU:2025-11448,0.4529239
BDU:2025-11447,0.4527092
BDU:2025-11446,0.0546883
BDU:2025-11445,0.7034726
BDU:2025-11444,0.1444407
BDU:2025-11443,0.3742563
BDU:2025-11442,0.2142475
BDU:2025-11441,0.4343956
BDU:2025-11437,0.3452778
BDU:2025-11436,0.3452778
BDU:2025-11434,0.34501
BDU:2025-11433,0.3452778
BDU:2025-11432,0.34501
BDU:2025-11431,0.43112
BDU:2025-11430,0.4314661
BDU:2025-11429,0.4314661
BDU:2025-11428,0.0498147
BDU:2025-11427,0.7390706
BDU:2025-11426,0.7196352
BDU:2025-11425,0.2267398
BDU:2025-11424,0.2267854
BDU:2025-11423,0.2267388
BDU:2025-11422,0.226757
BDU:2025-11421,0.2267368
BDU:2025-11420,0.2267337
BDU:2025-11419,0.2267347
BDU:2025-11418,0.2270128
BDU:2025-11417,0.2278057
BDU:2025-11416,0.2272396
BDU:2025-11415,0.2103771
BDU:2025-11414,0.1474879
BDU:2025-11413,0.8817641
BDU:2025-11411,0.2317437
BDU:2025-11410,0.453865
BDU:2025-11409,0.6420535
BDU:2025-11408,0.2097243
BDU:2025-11407,0.4544978
BDU:2025-11406,0.4377397
BDU:2025-11405,0.4976503
BDU:2025-11404,0.4544583
BDU:2025-11403,0.2075012
BDU:2025-11402,0.2076328
BDU:2025-11401,0.207691
BDU:2025-11400,0.2076859
BDU:2025-11398,0.5313313
BDU:2025-11397,0.4544978
BDU:2025-11396,0.4542062
BDU:2025-11395,0.1213022
BDU:2025-11394,0.2516088
BDU:2025-11393,0.4224302
BDU:2025-11392,0.1635807
BDU:2025-11389,0.1389444
BDU:2025-11388,0.2238271
BDU:2025-11387,0.2238291
BDU:2025-11386,0.223826
BDU:2025-11385,0.1391746
BDU:2025-11384,0.2006831
BDU:2025-11383,0.5327196
BDU:2025-11382,0.5332652
BDU:2025-11381,0.5332652
BDU:2025-11380,0.5332652
BDU:2025-11379,0.5327196
BDU:2025-11378,0.533553
BDU:2025-11377,0.5274726
BDU:2025-11376,0.0717613
BDU:2025-11375,0.0552656
BDU:2025-11374,0.0717213
BDU:2025-11373,0.0717983
BDU:2025-11372,0.0717244
BDU:2025-11371,0.0722863
BDU:2025-11370,0.8744982
BDU:2025-11369,0.0717121
BDU:2025-11368,0.0717213
BDU:2025-11367,0.0717213
BDU:2025-11366,0.0717213
BDU:2025-11365,0.1811415
BDU:2025-11364,0.1406131
BDU:2025-11363,0.1811799
BDU:2025-11362,0.1804893
BDU:2025-11361,0.1809779
BDU:2025-11360,0.1400808
BDU:2025-11359,0.048027
BDU:2025-11358,0.2318759
BDU:2025-11357,0.4408813
BDU:2025-11356,0.2270523
BDU:2025-11355,0.4391084
BDU:2025-11354,0.5872697
BDU:2025-11353,0.8053054
BDU:2025-11352,0.4393811
BDU:2025-11351,0.8747255
BDU:2025-11350,0.0475298
BDU:2025-11349,0.0468521
BDU:2025-11348,0.0515612
BDU:2025-11347,0.0498392
BDU:2025-11346,0.2718235
BDU:2025-11345,0.0392096
BDU:2025-11344,0.0392096
BDU:2025-11343,0.1247805
BDU:2025-11342,0.0392096
BDU:2025-11341,0.0392096
BDU:2025-11340,0.0789601
BDU:2025-11339,0.0825049
BDU:2025-11338,0.055719
BDU:2025-11337,0.5494084
BDU:2025-11336,0.2314783
BDU:2025-11335,0.2283283
BDU:2025-11334,0.5274726
BDU:2025-11333,0.5279905
BDU:2025-11332,0.5274726
BDU:2025-11331,0.2284533
BDU:2025-11330,0.2284826
BDU:2025-11329,0.0465653
BDU:2025-11328,0.0469794
BDU:2025-11327,0.0465653
BDU:2025-11326,0.2121463
BDU:2025-11325,0.2224138
BDU:2025-11324,0.0778269
BDU:2025-11323,0.0801173
BDU:2025-11322,0.0801173
BDU:2025-11321,0.3932963
BDU:2025-11320,0.0800034
BDU:2025-11319,0.0800034
BDU:2025-11318,0.1359859
BDU:2025-11317,0.057617
BDU:2025-11316,0.0468654
BDU:2025-11315,0.1177691
BDU:2025-11314,0.0464231
BDU:2025-11313,0.0921194
BDU:2025-11312,0.5601941
BDU:2025-11309,0.0464181
BDU:2025-11308,0.0462758
BDU:2025-11307,0.0464181
BDU:2025-11306,0.0907704
BDU:2025-11305,0.0908129
BDU:2025-11304,0.0907724
BDU:2025-11303,0.0921842
BDU:2025-11302,0.0926599
BDU:2025-11301,0.0921184
BDU:2025-11300,0.0921164
BDU:2025-11299,0.6537201
BDU:2025-11298,0.0921184
BDU:2025-11297,0.0926568
BDU:2025-11296,0.0927095
BDU:2025-11295,0.6936978
BDU:2025-11294,0.0791468
BDU:2025-11293,0.2103659
BDU:2025-11292,0.2309208
BDU:2025-11291,0.2309087
BDU:2025-11290,0.0918163
BDU:2025-11289,0.0923944
BDU:2025-11288,0.0907866
BDU:2025-11287,0.8069476
BDU:2025-11286,0.2324438
BDU:2025-11285,0.2309302
BDU:2025-11284,0.8060659
BDU:2025-11283,0.2068492
BDU:2025-11282,0.2109531
BDU:2025-11281,0.4405438
BDU:2025-11280,0.439815
BDU:2025-11279,0.4405438
BDU:2025-11278,0.439815
BDU:2025-11277,0.4399799
BDU:2025-11276,0.3466859
BDU:2025-11275,0.20624
BDU:2025-11274,0.437679
BDU:2025-11273,0.0710006
BDU:2025-11272,0.4376714
BDU:2025-11271,0.6724982
BDU:2025-11270,0.6676537
BDU:2025-11269,0.4346192
BDU:2025-11268,0.0718537
BDU:2025-11267,0.4357868
BDU:2025-11266,0.543705
BDU:2025-11265,0.4365763
BDU:2025-11264,0.3666415
BDU:2025-11263,0.0718167
BDU:2025-11262,0.706925
BDU:2025-11261,0.2306515
BDU:2025-11260,0.2306515
BDU:2025-11259,0.2048895
BDU:2025-11258,0.3519065
BDU:2025-11257,0.2109611
BDU:2025-11256,0.4366423
BDU:2025-11255,0.4545414
BDU:2025-11254,0.4417582
BDU:2025-11253,0.2325333
BDU:2025-11252,0.2737369
BDU:2025-11251,0.6188788
BDU:2025-11250,0.7720869
BDU:2025-11249,0.2366329
BDU:2025-11248,0.2117035
BDU:2025-11247,0.5041096
BDU:2025-11246,0.2113814
BDU:2025-11245,0.5318967
BDU:2025-11244,0.8046683
BDU:2025-11233,0.2317265
BDU:2025-11228,0.2308124
BDU:2025-11226,0.2316475
BDU:2025-11225,0.2516088
BDU:2025-11224,0.2516088
BDU:2025-11223,0.2516088
BDU:2025-11222,0.2516088
BDU:2025-11221,0.2516088
BDU:2025-11220,0.2516088
BDU:2025-11219,0.2516088
BDU:2025-11218,0.2516088
BDU:2025-11217,0.2516088
BDU:2025-11216,0.2516088
BDU:2025-11215,0.2516088
BDU:2025-11214,0.2516088
BDU:2025-11213,0.2516088
BDU:2025-11212,0.2516088
BDU:2025-11211,0.2516088
BDU:2025-11210,0.2516088
BDU:2025-11209,0.2516088
BDU:2025-11208,0.2516088
BDU:2025-11207,0.2516088
BDU:2025-11206,0.2516088
BDU:2025-11205,0.2516088
BDU:2025-11204,0.2516088
BDU:2025-11203,0.2516088
BDU:2025-11202,0.2516088
BDU:2025-11201,0.2516088
BDU:2025-11200,0.2516088
BDU:2025-11199,0.2516088
BDU:2025-11198,0.2516088
BDU:2025-11197,0.2516088
BDU:2025-11196,0.2516088
BDU:2025-11195,0.2516088
BDU:2025-11194,0.2516088
BDU:2025-11193,0.2516088
BDU:2025-11192,0.2516088
BDU:2025-11191,0.2516088
BDU:2025-11190,0.2516088
BDU:2025-11189,0.2516088
BDU:2025-11188,0.2516088
BDU:2025-11187,0.2516088
